url_id,title,ad_title,subtitle,description,price,model_year,km,seats,vehicle_model,length_variant,trim_family,fuel,drive,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,body_type,vehicle_class,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,owners,first_registered,warranty_text,warranty_months,warranty_km,color,place,postal_code,county,latitude,longitude,seller_name,updated_at_text,model_sample,relevant,is_electric,parse_source_core,parse_source_flags,raw_html_file,url,search_query,search_page,search_position,brand,model,search_price,page_title,total_price_text,price_ex_reg_text,reg_fee_text,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,weight_text,doors,luggage_text,country,eu_deadline,registration_number,sales_form,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,finn_county_code,finn_municipality_code,model_clean
451015720,Citroen SpaceTourer,Citroen SpaceTourer,NA,NA,195000,2020,35000,9,Citroen ë-SpaceTourer,NA,base,El,Forhjulsdrift,50,211,136,1000,Kasse,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,17.07.2020,NA,NA,NA,Sølv,Ski,1425,Akershus,59.71969589593153,10.835604896452368,NA,"30. april 2026, 23:58 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_451015720.html,https://www.finn.no/mobility/item/451015720,50kWh SpaceTourer,1,1,Citroen,SpaceTourer,195000,Bruktbil til salgs: Citroen SpaceTourer - 2020 - Sølv - 136 hk - Kasse | FINN.no,NA,190 468 kr,4 532 kr (avgifter),136 hk,35 000 km,NA,NA,Automat,1 000 kg,2 183 kg,5,NA,Norge,05.02.2028,ED97238,Bruktbil til salgs,2183,NA,NA,190468,50,0,20003,22104,SpaceTourer
441656103,Citroen SpaceTourer,Citroen SpaceTourer,75kWt L3 Shine,75kWt L3 Shine,374434,2021,44000,8,Citroen ë-SpaceTourer,XL/L3,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,19.11.2021,Nybilgaranti,NA,NA,Grå,Hagan,1481,Akershus,59.997432057042005,10.917727178672298,NA,"6. mai 2026, 22:41 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_441656103.html,https://www.finn.no/mobility/item/441656103,75kWt SpaceTourer,1,1,Citroen,SpaceTourer,374434,Bruktbil til salgs: Citroen SpaceTourer - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,370 000 kr,4 434 kr (avgifter),136 hk,44 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,20.11.2027,ED39107,Bruktbil til salgs,2065,603,NA,370000,75,0,20003,20054,SpaceTourer
460924816,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter Fantastisk familiebil | Leveringsklar,75kWt 6 seter Fantastisk familiebil | Leveringsklar,374900,2024,8,6,Citroen ë-SpaceTourer,NA,base,El,Forhjulsdrift,75,315,136,NA,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,24.06.2024,Bruktbilgaranti,60,100000,Hvit,Lillestrøm,NA,Akershus,59.956725,11.034393,Birger N. Haug AS Lillestrøm,"11. mai 2026, 16:53 Referanse P277923 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460924816.html,https://www.finn.no/mobility/item/460924816,75kWt SpaceTourer,1,2,Citroen,SpaceTourer,374900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,8 km,75 kWh,NA,Automat,NA,NA,6,NA,Norge,NA,EC25582,Bruktbil til salgs,NA,NA,NA,NA,75,315,20003,22105,SpaceTourer
462489982,Citroen E-SpaceTourer,Citroen E-SpaceTourer,75kWt L2 Shine,75kWt L2 Shine,375000,2021,65000,8,Citroen ë-SpaceTourer,M/L2,high,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,29.12.2021,Nybilgaranti,NA,100000,Svart,Rud,1351,Akershus,59.908400460010036,10.493201785290369,Autoco Bærum AS,"5. mai 2026, 10:53 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462489982.html,https://www.finn.no/mobility/item/462489982,75kWt SpaceTourer,1,3,Citroen,E-SpaceTourer,375000,Bruktbil til salgs: Citroen E-SpaceTourer - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,370 468 kr,4 532 kr (avgifter),136 hk,65 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,29.12.2027,EC78339,Bruktbil til salgs,2065,603,NA,370468,75,0,20003,20045,E-SpaceTourer
460885571,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,379900,2024,5,6,Citroen ë-SpaceTourer,NA,high,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,24.06.2024,Nybilgaranti,38,120000,Hvit,Rud,NA,Akershus,59.909499,10.49477,Birger N. Haug AS avd. Rud,"22. april 2026, 10:39 Referanse P277925 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460885571.html,https://www.finn.no/mobility/item/460885571,75kWt SpaceTourer,1,4,Citroen,SpaceTourer,379900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,5 km,75 kWh,NA,Automat,1 000 kg,2 086 kg,5,603 L,Norge,NA,NA,Bruktbil til salgs,2086,603,NA,NA,75,0,20003,20045,SpaceTourer
463485562,Citroen SpaceTourer,Citroen SpaceTourer,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,779000,2026,5000,9,Citroen ë-SpaceTourer,XL/L3,high,El,Forhjulsdrift,75,340,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,08.05.2026,Nybilgaranti,59,100000,Svart,Oslo,NA,Oslo,59.916098,10.790484,Mobile Oslo AS,"13. mai 2026, 16:07 Referanse VF7VSZKU8TZ033448 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463485562.html,https://www.finn.no/mobility/item/463485562,75kWt SpaceTourer,1,5,Citroen,SpaceTourer,779000,Bruktbil til salgs: Citroen SpaceTourer - 2026 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,771 495 kr,7 505 kr (avgifter),136 hk,5 000 km,NA,NA,Automat,1 000 kg,2 332 kg,5,980 L,Norge,08.05.2030,DS39230,Bruktbil til salgs,2332,980,NA,771495,75,340,20061,20456,SpaceTourer
460131170,Citroen C4,Citroen C4,Puretech 131hk AT | Navi | Ryggekamera | EU 05/27,Puretech 131hk AT | Navi | Ryggekamera | EU 05/27,139900,2019,107849,7,NA,NA,high,Bensin,Forhjulsdrift,NA,849,131,1300,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,20.05.2019,Outlet (ingen garanti),NA,NA,Hvit,Haugesund,NA,NA,59.397404,5.334735,Bil-Kompaniet Haugesund,"16. april 2026, 14:32 Referanse 3466 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460131170.html,https://www.finn.no/mobility/item/460131170,Citroen E-SpaceTourer,1,1,Citroen,C4,139900,Bruktbil til salgs: Citroen C4 - 2019 - Hvit - 131 hk - Flerbruksbil | FINN.no,NA,135 368 kr,4 532 kr (avgifter),131 hk,107 849 km,NA,NA,Automat,1 300 kg,1 399 kg,5,NA,Norge,NA,BT95634,Bruktbil til salgs,1399,NA,NA,135368,NA,849,20012,20197,C4
453730792,Citroen Grand C4 Spacetourer,Citroen Grand C4 Spacetourer,BlueHDI 130 Shine aut - 7 SETER - TOPPMODELL,BlueHDI 130 Shine aut - 7 SETER - TOPPMODELL,174900,2019,128000,7,NA,NA,high,Diesel,Forhjulsdrift,NA,0,130,1500,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,16.03.2019,Bruktbilgaranti,3,3000,Hvit,Sarpsborg,NA,NA,59.288482,11.089453,Mobile Sarpsborg AS,"22. april 2026, 15:05 Referanse VF73AYHZRJJ852208 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_453730792.html,https://www.finn.no/mobility/item/453730792,Citroen E-SpaceTourer,1,2,Citroen,Grand C4 Spacetourer,174900,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Hvit - 130 hk - Flerbruksbil | FINN.no,NA,170 368 kr,4 532 kr (avgifter),130 hk,128 000 km,NA,NA,Automat,1 500 kg,1 430 kg,5,170 L,Norge,07.01.2027,AS59543,Bruktbil til salgs,1430,170,NA,170368,NA,0,20002,20023,Grand C4 Spacetourer
460763516,Citroen C4,Citroen C4,131HK Aut Pano R.kam Massasje Lav km 360° ACC / Carplay,131HK Aut Pano R.kam Massasje Lav km 360° ACC / Carplay,199000,2020,63500,5,NA,NA,high,Diesel,Forhjulsdrift,NA,500,131,1700,Flerbruksbil,Personbil,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,03.07.2020,Bruktbilgaranti 50/50,3,3000,Grå,Isdalstø,NA,NA,60.559524,5.264894,Vest Motor AS,"11. mai 2026, 09:33 Referanse 3622 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460763516.html,https://www.finn.no/mobility/item/460763516,Citroen E-SpaceTourer,1,4,Citroen,C4,199000,Bruktbil til salgs: Citroen C4 - 2020 - Grå - 131 hk - Flerbruksbil | FINN.no,NA,194 468 kr,4 532 kr (avgifter),131 hk,63 500 km,NA,NA,Manuell,1 700 kg,1 402 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,1402,NA,NA,194468,NA,500,22046,22109,C4
462533291,Citroen Grand C4 Spacetourer,Citroen Grand C4 Spacetourer,PureTech 130 Shine Pack aut,PureTech 130 Shine Pack aut,229000,2019,98500,7,NA,NA,high,Bensin,Forhjulsdrift,NA,500,130,NA,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,07.02.2020,Bruktbilgaranti,6,6000,Blå,Mo i Rana,8624,Nordland,66.30700304820942,14.13220905664669,Bilalliansen AS,"5. mai 2026, 17:00 Referanse VF73AHNSRKJ733734 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462533291.html,https://www.finn.no/mobility/item/462533291,Citroen E-SpaceTourer,1,5,Citroen,Grand C4 Spacetourer,229000,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Blå - 130 hk - Flerbruksbil | FINN.no,NA,224 468 kr,4 532 kr (avgifter),130 hk,98 500 km,NA,NA,Automat,NA,1 399 kg,5,130 L,Norge,07.02.2026,BU15063,Bruktbil til salgs,1399,130,NA,224468,NA,500,20018,20383,Grand C4 Spacetourer
413302959,Citroen Grand C4 Spacetourer,Citroen Grand C4 Spacetourer,131hk Automat/7-Seter/Pano/ACC/Kamera/Dab/Navigasjon/BT,131hk Automat/7-Seter/Pano/ACC/Kamera/Dab/Navigasjon/BT,239000,2019,59993,7,NA,NA,high,Bensin,Forhjulsdrift,NA,993,131,1300,Flerbruksbil,Personbil,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,20.06.2019,Fragus GOSafe Complete,12,150000,Grå,Frekhaug,NA,NA,60.514648,5.227445,Autosalg Vest AS,"3. mars 2026, 13:33 Referanse 2998 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_413302959.html,https://www.finn.no/mobility/item/413302959,Citroen E-SpaceTourer,1,6,Citroen,Grand C4 Spacetourer,239000,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Grå - 131 hk - Flerbruksbil | FINN.no,NA,234 566 kr,4 434 kr (avgifter),131 hk,59 993 km,NA,NA,Automat,1 300 kg,1 399 kg,5,NA,Norge,NA,CF99310,Bruktbil til salgs,1399,NA,NA,234566,NA,993,22046,22109,Grand C4 Spacetourer
460486066,Opel Zafira,Opel Zafira,75kWh L2 Elegance | 6 seter | Skinn,75kWh L2 Elegance | 6 seter | Skinn,357000,2022,30000,6,Opel Zafira-e Life,M/L2,high,El,Forhjulsdrift,75,306,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,19.04.2022,Bruktbilgaranti,19,200000,Hvit,Ås,1435,Akershus,59.65165708865168,10.81385373995132,NA,"14. mai 2026, 12:24 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460486066.html,https://www.finn.no/mobility/item/460486066,Citroen E-SpaceTourer,1,7,Opel,Zafira,357000,Bruktbil til salgs: Opel Zafira - 2022 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,352 468 kr,4 532 kr (avgifter),136 hk,30 000 km,75 kWh,NA,Automat,1 000 kg,2 416 kg,5,NA,Norge,10.11.2026,EN86673,Bruktbil til salgs,2416,NA,NA,352468,75,0,20003,20041,Zafira
449163455,Citroen SpaceTourer,Citroen SpaceTourer,120hk Diesel 9-seter Personbil/Business/ 2x Skyvedør+++,120hk Diesel 9-seter Personbil/Business/ 2x Skyvedør+++,399900,2019,73778,9,Citroen ë-SpaceTourer,NA,high,Diesel,Forhjulsdrift,NA,778,120,1800,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,31.01.2019,Fragus Mobility Basic,12,300000,Sølv,Kolbotn,1410,Akershus,59.811164127722286,10.79438932200601,Autospektrum AS Oslo,"2. mars 2026, 15:54 Referanse 4001 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_449163455.html,https://www.finn.no/mobility/item/449163455,Citroen E-SpaceTourer,1,10,Citroen,SpaceTourer,399900,Bruktbil til salgs: Citroen SpaceTourer - 2019 - Sølv - 120 hk - Flerbruksbil | FINN.no,NA,395 368 kr,4 532 kr (avgifter),120 hk,73 778 km,NA,NA,Manuell,1 800 kg,1 648 kg,5,NA,Norge,NA,SV94796,Bruktbil til salgs,1648,NA,NA,395368,NA,778,20003,22104,SpaceTourer
449164002,Citroen SpaceTourer,Citroen SpaceTourer,177Hk 8-seter Exlusive/Massasje/Skinn/Navi/Panorama++,177Hk 8-seter Exlusive/Massasje/Skinn/Navi/Panorama++,449900,2018,132563,8,Citroen ë-SpaceTourer,NA,high,Diesel,Forhjulsdrift,NA,563,177,2200,Flerbruksbil,Personbil,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,28.06.2018,Fragus Mobility Basic,12,300000,Grå,Kolbotn,1410,Akershus,59.811164127722286,10.79438932200601,Autospektrum AS Oslo,"13. mai 2026, 12:38 Referanse 4064 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_449164002.html,https://www.finn.no/mobility/item/449164002,Citroen E-SpaceTourer,1,11,Citroen,SpaceTourer,449900,Bruktbil til salgs: Citroen SpaceTourer - 2018 - Grå - 177 hk - Flerbruksbil | FINN.no,NA,445 368 kr,4 532 kr (avgifter),177 hk,132 563 km,NA,NA,Automat,2 200 kg,1 669 kg,5,NA,Norge,NA,RL33252,Bruktbil til salgs,1669,NA,NA,445368,NA,563,20003,22104,SpaceTourer
450558416,Citroen Grand C4 Spacetourer,Citroen Grand C4 Spacetourer,Spacetourer/Krok /Pano/Kamera/7-seter/ACC/Automat,Spacetourer/Krok /Pano/Kamera/7-seter/ACC/Automat,199000,2019,110500,7,NA,NA,high,Bensin,Forhjulsdrift,NA,500,131,1300,Flerbruksbil,Personbil,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,29.10.2019,Bruktbilgaranti,3,3000,Hvit,Øvre Vats,NA,NA,59.529625,5.687182,KNAPPHUS BIL AS,"13. mars 2026, 12:55 Del annonsen Rapporter annonse",FALSE,FALSE,FALSE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_450558416.html,https://www.finn.no/mobility/item/450558416,e-SpaceTourer,1,4,Citroen,Grand C4 Spacetourer,199000,Bruktbil til salgs: Citroen Grand C4 Spacetourer - 2019 - Hvit - 131 hk - Flerbruksbil | FINN.no,NA,194 566 kr,4 434 kr (avgifter),131 hk,110 500 km,NA,NA,Automat,1 300 kg,1 399 kg,4,NA,Norge,NA,SD93511,Bruktbil til salgs,1399,NA,NA,194566,NA,500,20012,20219,Grand C4 Spacetourer
433519464,Opel Zafira,Opel Zafira,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,239000,2021,99000,9,Opel Zafira-e Life,NA,high,El,Forhjulsdrift,50,212,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,26.11.2020,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Hvit,Hamar,2315,Innlandet,60.80598650981171,11.050175638517086,Car4Sale AS,"11. mars 2026, 16:43 Referanse 11931 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_433519464.html,https://www.finn.no/mobility/item/433519464,Opel Zafira e-Life,1,1,Opel,Zafira,239000,Bruktbil til salgs: Opel Zafira - 2021 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,234 468 kr,4 532 kr (avgifter),136 hk,99 000 km,50 kWh,NA,Automat,1 000 kg,2 194 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2194,NA,NA,234468,50,212,22034,20063,Zafira
460936892,Opel Vivaro,Opel Vivaro,Life/Vivaro/6 seter/50hwh/Kamera/,Life/Vivaro/6 seter/50hwh/Kamera/,268000,2020,11200,9,NA,NA,high,El,Forhjulsdrift,50,214,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,30.10.2020,Nybilgaranti fra 1. gang reg.,60,100000,Hvit,Søreidgrend,NA,NA,60.315677,5.268882,ECOCAR AS,"8. mai 2026, 18:09 Referanse 3835 Del annonsen Rapporter annonse",FALSE,NA,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460936892.html,https://www.finn.no/mobility/item/460936892,Opel Zafira e-Life,1,2,Opel,Vivaro,268000,Bruktbil til salgs: Opel Vivaro - 2020 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,11 200 km,50 kWh,NA,Automat,1 000 kg,2 177 kg,NA,NA,Norge,NA,EP25466,Bruktbil til salgs,2177,NA,NA,NA,50,200,22046,20220,Vivaro
462768464,Opel Zafira,Opel Zafira,BRUKTBILKAMPANJE 136hk 50kWt 8- seter | Skinn,BRUKTBILKAMPANJE 136hk 50kWt 8- seter | Skinn,279000,2021,80000,8,Opel Zafira-e Life,NA,high,El,Forhjulsdrift,46,207,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,07.07.2022,Bruktbil garanti,6,6000,Svart,Ålesund,NA,NA,62.470916,6.357525,Auto 8-8 Ålesund AS,"7. mai 2026, 17:14 Referanse ca800c26-cb16-4a8d-9b26-781d0b957a61 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462768464.html,https://www.finn.no/mobility/item/462768464,Opel Zafira e-Life,1,3,Opel,Zafira,279000,Bruktbil til salgs: Opel Zafira - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,274 468 kr,4 532 kr (avgifter),136 hk,80 000 km,46 kWh,NA,Automat,1 000 kg,1 894 kg,6,NA,Norge,NA,EE28579,Bruktbil til salgs,1894,NA,NA,274468,50,0,20015,20282,Zafira
461006616,Opel Zafira,Opel Zafira,"El- L3 75kWh 136hk 8-seter, landets billigste, eu ok","El- L3 75kWh 136hk 8-seter, landets billigste, eu ok",299900,2023,153444,8,Opel Zafira-e Life,XL/L3,high,El,Forhjulsdrift,75,311,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,27.09.2023,Bruktbilgaranti,3,3000,Grå,Inderøy,7670,Trøndelag/Nordland,63.86839543574856,11.297664133278946,Jætåsen Bil AS,"23. april 2026, 11:19 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_461006616.html,https://www.finn.no/mobility/item/461006616,Opel Zafira e-Life,1,4,Opel,Zafira,299900,Bruktbil til salgs: Opel Zafira - 2023 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,NA,Ikke oppgitt (avgifter),136 hk,153 444 km,75 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,09.07.2026,XD91171,Bruktbil til salgs,2092,980,NA,NA,75,444,20016,20354,Zafira
459060409,Opel Zafira,Opel Zafira,Elegance L3 50kWh 136hk,Elegance L3 50kWh 136hk,319532,2021,56660,8,Opel Zafira-e Life,XL/L3,high,El,Forhjulsdrift,50,230,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,15.12.2020,NA,NA,NA,Svart,Sandnes,4324,Agder,58.81642666884743,5.751628554301968,NA,"5. mai 2026, 13:06 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459060409.html,https://www.finn.no/mobility/item/459060409,Opel Zafira e-Life,1,5,Opel,Zafira,319532,Bruktbil til salgs: Opel Zafira - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,315 000 kr,4 532 kr (avgifter),136 hk,56 660 km,50 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,17.06.2027,EE12612,Bruktbil til salgs,2092,980,NA,315000,50,660,20012,20195,Zafira
436123185,Opel Vivaro,Opel Vivaro,Life/Vivaro/75kwh/8 seter/Lang-L3/Vårsalg!,Life/Vivaro/75kwh/8 seter/Lang-L3/Vårsalg!,337000,2022,44598,8,NA,XL/L3,high,El,Forhjulsdrift,75,314,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,11.01.2022,Fragus Mobility Premium,24,200000,Hvit,Søreidgrend,NA,NA,60.315677,5.268882,ECOCAR AS,"8. mai 2026, 18:09 Referanse 3770 Del annonsen Rapporter annonse",FALSE,NA,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_436123185.html,https://www.finn.no/mobility/item/436123185,Opel Zafira e-Life,1,6,Opel,Vivaro,337000,Bruktbil til salgs: Opel Vivaro - 2022 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,332 468 kr,4 532 kr (avgifter),136 hk,44 598 km,75 kWh,NA,Automat,1 000 kg,2 249 kg,NA,NA,Norge,NA,EP82171,Bruktbil til salgs,2249,NA,NA,332468,75,598,22046,20220,Vivaro
460970224,Opel Zafira,Opel Zafira,Elegance L2 75kWh 136hk,Elegance L2 75kWh 136hk,399000,2022,44800,8,Opel Zafira-e Life,M/L2,high,El,Forhjulsdrift,75,329,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,28.11.2022,Nybilgaranti,60,100000,Grå,Volda,6102,Møre og Romsdal/Vestland,62.150502794654514,6.065592636373951,NA,"12. mai 2026, 11:43 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460970224.html,https://www.finn.no/mobility/item/460970224,Opel Zafira e-Life,1,8,Opel,Zafira,399000,Bruktbil til salgs: Opel Zafira - 2022 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,394 468 kr,4 532 kr (avgifter),136 hk,44 800 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,550 L,Norge,28.11.2026,EE78998,Bruktbil til salgs,2065,550,NA,394468,75,800,20015,20288,Zafira
