url_id,title,ad_title,subtitle,description,price,model_year,km,seats,vehicle_model,length_variant,trim,fuel,drive,battery_kwh,range_wltp_km,effect_hp,max_tow_kg,body_type,vehicle_class,has_towbar,has_panorama,has_hud,has_leather,has_camera,has_nav,is_camper,owners,first_registered,warranty_text,warranty_months,warranty_km,color,place,postal_code,county,latitude,longitude,seller_name,updated_at_text,model_sample,relevant,is_electric,parse_source_core,parse_source_flags,raw_html_file,url,search_query,search_page,search_position,brand,model,search_price,page_title,total_price_text,price_ex_reg_text,reg_fee_text,effect_text,km_text,battery_text,range_text,transmission,tow_weight_text,weight_text,doors,luggage_text,country,eu_deadline,registration_number,sales_form,weight_kg,luggage_l,total_price,price_ex_reg,battery_kwh_detected,range_wltp_km_detected,finn_county_code,finn_municipality_code,model_clean
451015720,Citroen SpaceTourer,Citroen SpaceTourer,NA,NA,195000,2020,35000,9,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,50,211,136,1000,Kasse,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,17.07.2020,NA,NA,NA,Sølv,Ski,1425,Akershus,59.71969589593153,10.835604896452368,NA,"30. april 2026, 23:58 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_451015720.html,https://www.finn.no/mobility/item/451015720,50kWh SpaceTourer,1,1,Citroen,SpaceTourer,195000,Bruktbil til salgs: Citroen SpaceTourer - 2020 - Sølv - 136 hk - Kasse | FINN.no,NA,190 468 kr,4 532 kr (avgifter),136 hk,35 000 km,NA,NA,Automat,1 000 kg,2 183 kg,5,NA,Norge,05.02.2028,ED97238,Bruktbil til salgs,2183,NA,NA,190468,50,0,20003,22104,SpaceTourer
441656103,Citroen SpaceTourer,Citroen SpaceTourer,75kWt L3 Shine,75kWt L3 Shine,374434,2021,44000,8,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,19.11.2021,Nybilgaranti,NA,NA,Grå,Hagan,1481,Akershus,59.997432057042005,10.917727178672298,NA,"6. mai 2026, 22:41 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_441656103.html,https://www.finn.no/mobility/item/441656103,75kWt SpaceTourer,1,1,Citroen,SpaceTourer,374434,Bruktbil til salgs: Citroen SpaceTourer - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,370 000 kr,4 434 kr (avgifter),136 hk,44 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,20.11.2027,ED39107,Bruktbil til salgs,2065,603,NA,370000,75,0,20003,20054,SpaceTourer
460924816,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter Fantastisk familiebil | Leveringsklar,75kWt 6 seter Fantastisk familiebil | Leveringsklar,374900,2024,8,6,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,75,315,136,NA,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,24.06.2024,Bruktbilgaranti,60,100000,Hvit,Lillestrøm,NA,Akershus,59.956725,11.034393,Birger N. Haug AS Lillestrøm,"11. mai 2026, 16:53 Referanse P277923 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460924816.html,https://www.finn.no/mobility/item/460924816,75kWt SpaceTourer,1,2,Citroen,SpaceTourer,374900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,8 km,75 kWh,NA,Automat,NA,NA,6,NA,Norge,NA,EC25582,Bruktbil til salgs,NA,NA,NA,NA,75,315,20003,22105,SpaceTourer
462489982,Citroen E-SpaceTourer,Citroen E-SpaceTourer,75kWt L2 Shine,75kWt L2 Shine,375000,2021,65000,8,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,2,29.12.2021,Nybilgaranti,NA,100000,Svart,Rud,1351,Akershus,59.908400460010036,10.493201785290369,Autoco Bærum AS,"5. mai 2026, 10:53 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462489982.html,https://www.finn.no/mobility/item/462489982,75kWt SpaceTourer,1,3,Citroen,E-SpaceTourer,375000,Bruktbil til salgs: Citroen E-SpaceTourer - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,370 468 kr,4 532 kr (avgifter),136 hk,65 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,29.12.2027,EC78339,Bruktbil til salgs,2065,603,NA,370468,75,0,20003,20045,E-SpaceTourer
460885571,Citroen SpaceTourer,Citroen SpaceTourer,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,75kWt 6 seter MOMSFRADRAG VED LEASING/PÅSKEKAMPANJE,379900,2024,5,6,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,24.06.2024,Nybilgaranti,38,120000,Hvit,Rud,NA,Akershus,59.909499,10.49477,Birger N. Haug AS avd. Rud,"22. april 2026, 10:39 Referanse P277925 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460885571.html,https://www.finn.no/mobility/item/460885571,75kWt SpaceTourer,1,4,Citroen,SpaceTourer,379900,Bruktbil til salgs: Citroen SpaceTourer - 2024 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,NA,Fritatt (avgifter),136 hk,5 km,75 kWh,NA,Automat,1 000 kg,2 086 kg,5,603 L,Norge,NA,NA,Bruktbil til salgs,2086,603,NA,NA,75,0,20003,20045,SpaceTourer
463485562,Citroen SpaceTourer,Citroen SpaceTourer,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,340km 75kWt L3 Plus 9-seter/Ryggekamera/Navigasjon/ACC,779000,2026,5000,9,Citroen ë-SpaceTourer,XL/L3,Plus,El,Forhjulsdrift,75,340,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,08.05.2026,Nybilgaranti,59,100000,Svart,Oslo,NA,Oslo,59.916098,10.790484,Mobile Oslo AS,"13. mai 2026, 16:07 Referanse VF7VSZKU8TZ033448 Del annonsen Rapporter annonse",TRUE,TRUE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463485562.html,https://www.finn.no/mobility/item/463485562,75kWt SpaceTourer,1,5,Citroen,SpaceTourer,779000,Bruktbil til salgs: Citroen SpaceTourer - 2026 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,771 495 kr,7 505 kr (avgifter),136 hk,5 000 km,NA,NA,Automat,1 000 kg,2 332 kg,5,980 L,Norge,08.05.2030,DS39230,Bruktbil til salgs,2332,980,NA,771495,75,340,20061,20456,SpaceTourer
460486066,Opel Zafira,Opel Zafira,75kWh L2 Elegance | 6 seter | Skinn,75kWh L2 Elegance | 6 seter | Skinn,357000,2022,30000,6,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,306,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,19.04.2022,Bruktbilgaranti,19,200000,Hvit,Ås,1435,Akershus,59.65165708865168,10.81385373995132,NA,"14. mai 2026, 12:24 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460486066.html,https://www.finn.no/mobility/item/460486066,Citroen E-SpaceTourer,1,7,Opel,Zafira,357000,Bruktbil til salgs: Opel Zafira - 2022 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,352 468 kr,4 532 kr (avgifter),136 hk,30 000 km,75 kWh,NA,Automat,1 000 kg,2 416 kg,5,NA,Norge,10.11.2026,EN86673,Bruktbil til salgs,2416,NA,NA,352468,75,0,20003,20041,Zafira
433519464,Opel Zafira,Opel Zafira,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,Life 9-Seter 50KWh 212km / Cruise / CarPlay / S+V / DAB,239000,2021,99000,9,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,50,212,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,26.11.2020,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Hvit,Hamar,2315,Innlandet,60.80598650981171,11.050175638517086,Car4Sale AS,"11. mars 2026, 16:43 Referanse 11931 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_433519464.html,https://www.finn.no/mobility/item/433519464,Opel Zafira e-Life,1,1,Opel,Zafira,239000,Bruktbil til salgs: Opel Zafira - 2021 - Hvit - 136 hk - Flerbruksbil | FINN.no,NA,234 468 kr,4 532 kr (avgifter),136 hk,99 000 km,50 kWh,NA,Automat,1 000 kg,2 194 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2194,NA,NA,234468,50,212,22034,20063,Zafira
462768464,Opel Zafira,Opel Zafira,BRUKTBILKAMPANJE 136hk 50kWt 8- seter | Skinn,BRUKTBILKAMPANJE 136hk 50kWt 8- seter | Skinn,279000,2021,80000,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,46,207,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,07.07.2022,Bruktbil garanti,6,6000,Svart,Ålesund,NA,NA,62.470916,6.357525,Auto 8-8 Ålesund AS,"7. mai 2026, 17:14 Referanse ca800c26-cb16-4a8d-9b26-781d0b957a61 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_462768464.html,https://www.finn.no/mobility/item/462768464,Opel Zafira e-Life,1,3,Opel,Zafira,279000,Bruktbil til salgs: Opel Zafira - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,274 468 kr,4 532 kr (avgifter),136 hk,80 000 km,46 kWh,NA,Automat,1 000 kg,1 894 kg,6,NA,Norge,NA,EE28579,Bruktbil til salgs,1894,NA,NA,274468,50,0,20015,20282,Zafira
461006616,Opel Zafira,Opel Zafira,"El- L3 75kWh 136hk 8-seter, landets billigste, eu ok","El- L3 75kWh 136hk 8-seter, landets billigste, eu ok",299900,2023,153444,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,311,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,27.09.2023,Bruktbilgaranti,3,3000,Grå,Inderøy,7670,Trøndelag/Nordland,63.86839543574856,11.297664133278946,Jætåsen Bil AS,"23. april 2026, 11:19 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_461006616.html,https://www.finn.no/mobility/item/461006616,Opel Zafira e-Life,1,4,Opel,Zafira,299900,Bruktbil til salgs: Opel Zafira - 2023 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,NA,Ikke oppgitt (avgifter),136 hk,153 444 km,75 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,09.07.2026,XD91171,Bruktbil til salgs,2092,980,NA,NA,75,444,20016,20354,Zafira
459060409,Opel Zafira,Opel Zafira,Elegance L3 50kWh 136hk,Elegance L3 50kWh 136hk,319532,2021,56660,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,50,230,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,2,15.12.2020,NA,NA,NA,Svart,Sandnes,4324,Agder,58.81642666884743,5.751628554301968,NA,"5. mai 2026, 13:06 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459060409.html,https://www.finn.no/mobility/item/459060409,Opel Zafira e-Life,1,5,Opel,Zafira,319532,Bruktbil til salgs: Opel Zafira - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,315 000 kr,4 532 kr (avgifter),136 hk,56 660 km,50 kWh,NA,Automat,1 000 kg,2 092 kg,5,980 L,Norge,17.06.2027,EE12612,Bruktbil til salgs,2092,980,NA,315000,50,660,20012,20195,Zafira
460970224,Opel Zafira,Opel Zafira,Elegance L2 75kWh 136hk,Elegance L2 75kWh 136hk,399000,2022,44800,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,329,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,28.11.2022,Nybilgaranti,60,100000,Grå,Volda,6102,Møre og Romsdal/Vestland,62.150502794654514,6.065592636373951,NA,"12. mai 2026, 11:43 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460970224.html,https://www.finn.no/mobility/item/460970224,Opel Zafira e-Life,1,8,Opel,Zafira,399000,Bruktbil til salgs: Opel Zafira - 2022 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,394 468 kr,4 532 kr (avgifter),136 hk,44 800 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,550 L,Norge,28.11.2026,EE78998,Bruktbil til salgs,2065,550,NA,394468,75,800,20015,20288,Zafira
463476333,Opel Zafira,Opel Zafira,LIFE/75kWh/L3/BUSINESS/9-SETER/CRUISE/R.KAM/XENON/NAVI,LIFE/75kWh/L3/BUSINESS/9-SETER/CRUISE/R.KAM/XENON/NAVI,429900,2023,39520,9,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,68,312,136,1000,Annet,Personbil,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,31.03.2023,Nybilgaranti,22,100000,Hvit,Steinkjer,NA,NA,64.007125,11.494524,Slatlem Steinkjer AS,"13. mai 2026, 14:34 Referanse 86370e99-746d-451a-8818-23d0a6076de2 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_463476333.html,https://www.finn.no/mobility/item/463476333,Opel Zafira e-Life,1,9,Opel,Zafira,429900,Bruktbil til salgs: Opel Zafira - 2023 - Hvit - 136 hk - Annet | FINN.no,NA,422 395 kr,7 505 kr (avgifter),136 hk,39 520 km,68 kWh,NA,Automat,1 000 kg,2 086 kg,6,NA,Norge,NA,EF66815,Bruktbil til salgs,2086,NA,NA,422395,75,520,20016,20343,Zafira
450759876,Opel Zafira,Opel Zafira,NORSK GS L3 75KWH 8 SETER ACC CARPLAY MYOPEL APP KAMERA,NORSK GS L3 75KWH 8 SETER ACC CARPLAY MYOPEL APP KAMERA,599000,2025,5350,8,Opel Zafira-e Life,XL/L3,Plus,El,Forhjulsdrift,75,350,136,1000,Flerbruksbil,Personbil,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1,04.06.2025,Nybilgaranti,49,NA,Svart,Stavanger,NA,NA,58.904326,5.693391,Sven Kvia AS,"1. mai 2026, 19:43 Referanse S5776 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_450759876.html,https://www.finn.no/mobility/item/450759876,Opel Zafira e-Life,1,10,Opel,Zafira,599000,Bruktbil til salgs: Opel Zafira - 2025 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,591 495 kr,7 505 kr (avgifter),136 hk,5 350 km,75 kWh,NA,Automat,1 000 kg,2 303 kg,5,980 L,Norge,NA,EN66914,Bruktbil til salgs,2303,980,NA,591495,75,350,20012,20196,Zafira
459723398,Peugeot e-Traveller,Peugeot e-Traveller,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,8 Seter / 330km / Skinn / Pano / ACC / HUD / Massasje +,329900,2021,105000,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,18.10.2021,garanti etter avtale (se annonsetekst - fra/maks),6,300000,Grå,Jessheim,2050,Akershus,60.13836310969308,11.166250045170658,Car4Sale AS,"12. mai 2026, 12:24 Referanse 13585 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_459723398.html,https://www.finn.no/mobility/item/459723398,Peugeot e-Traveller,1,3,Peugeot,e-Traveller,329900,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Grå - 136 hk - Flerbruksbil | FINN.no,NA,325 368 kr,4 532 kr (avgifter),136 hk,105 000 km,75 kWh,NA,Automat,1 000 kg,2 327 kg,5,NA,Norge,NA,NA,Bruktbil til salgs,2327,NA,NA,325368,75,330,20003,20056,e-Traveller
460798037,Peugeot e-Traveller,Peugeot e-Traveller,L2 Allure 75kWt,L2 Allure 75kWt,339532,2021,74000,8,Peugeot e-Traveller,XL/L3,Plus,El,Forhjulsdrift,75,330,136,1000,Flerbruksbil,Personbil,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,1,10.06.2021,Nybilgaranti,1,100000,Svart,Ålesund,6006,Møre og Romsdal/Vestland,62.465498273865634,6.113798689248467,NA,"13. mai 2026, 13:51 Del annonsen Rapporter annonse",TRUE,FALSE,TRUE,FINN HTML definition list + SEO structured data,deterministic keyword parser,data/raw/html/item_460798037.html,https://www.finn.no/mobility/item/460798037,Peugeot e-Traveller,1,4,Peugeot,e-Traveller,339532,Bruktbil til salgs: Peugeot e-Traveller - 2021 - Svart - 136 hk - Flerbruksbil | FINN.no,NA,335 000 kr,4 532 kr (avgifter),136 hk,74 000 km,75 kWh,NA,Automat,1 000 kg,2 065 kg,5,603 L,Norge,10.06.2027,EC58941,Bruktbil til salgs,2065,603,NA,335000,75,0,20015,20282,e-Traveller
